substrate,FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,Date,accl_temp,length,mass,heart_mass,MR_pmol_s,phenotype
FA,O1G4R6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/24/19,28,58,3.9,0.003,14.74814561,CaM
FA,R1R2G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/24/19,28,82,11.8,0.015,30.84436082,CaM
FA,O1R3R6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/24/19,28,80,13,0.011,36.26296935,CaM
FA,P1O3R6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/24/19,28,67,6.9,0.005,1.962288802,CaM
FA,G2P3G6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/24/19,28,67,7,0.006,19.85650262,CaM
FA,O1O2P6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/24/19,28,61,5.1,0.003,17.89130163,CaM
FA,O2G3G4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/24/19,28,75,10.5,0.008,30.68096676,CaM
FA,G1P4O5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/24/19,28,67,7.1,0.007,23.02502918,CaM
FA,O1R3G4,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/24/19,28,71,9.4,0.014,23.92393916,CaM
FA,O2G5O6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/24/19,28,69,7.8,0.008,19.41355294,CaM
FA,O4G5P6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/25/19,28,80,12.1,0.014,45.44527294,CaM
FA,O1O2O3,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/25/19,28,70,7.6,0.009,34.00015416,CaM
FA,G3O4G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/25/19,28,74,10.7,0.012,36.50368808,CaM
FA,P2G3P4,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/25/19,28,66,7.1,0.003,32.4727678,CaM
FA,P2R3G5,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/25/19,28,73,10.2,0.013,33.38323729,CaM
FA,G1P4G6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/25/19,28,68,6.5,0.007,25.92116839,CaM
FA,P1G2O4,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/25/19,28,71,8.7,0.012,30.57819433,CaM
FA,G2R4R5,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/25/19,28,68,5.6,0.007,18.96652675,CaM
FA,R1O4R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/25/19,28,78,12.5,0.014,34.41522157,CaM
FA,P3P4R5,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/25/19,28,84,14.1,0.016,36.42242075,CaM
FA,P1G2G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/25/19,28,66,8.2,0.011,21.38269196,CaM
FA,G1G3O5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/25/19,28,66,6.8,0.006,20.7423979,CaM
FA,R2R3G6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/25/19,28,60,4.9,0.007,18.34373745,CaM
FA,P1R3G4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/25/19,28,71,7.8,0.007,23.71056917,CaM
FA,R1O4G6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/25/19,28,72,9.1,0.007,24.34542363,CaM
FA,R2R4P6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/25/19,28,61,5.3,0.003,8.229584714,CaM
FA,P1O3P4,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/26/19,28,84,15.2,0.015,49.26354702,CaM
FA,G2O3G5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/26/19,28,72,8.3,0.009,41.13905252,CaM
FA,G1O4G5,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/26/19,28,76,11.5,0.008,19.86866128,CaM
FA,O2G3O5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/26/19,28,82,14,0.019,51.20340009,CaM
FA,P2R3O5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/26/19,28,72,7.9,0.01,35.03013264,CaM
FA,R4R5P6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/26/19,28,73,10.1,0.007,36.02320248,CaM
FA,R1O2G6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/26/19,28,66,6.5,0.008,31.83387254,CaM
FA,G2R4O6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/26/19,28,64,6.2,0.008,29.46688267,CaM
FA,P1O5R6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/26/19,28,69,7.6,0.009,8.375907995,CaM
FA,G3P4P5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/26/19,28,85,13.4,0.017,30.55805219,CaM
FA,G3O5P6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/26/19,28,75,11.7,0.016,33.89726725,CaM
FA,R3G5G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/26/19,28,66,6,0.004,18.72532198,CaM
FA,G3R4O6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/26/19,28,75,9.8,0.012,29.79342082,CaM
FA,G3P4O6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/26/19,28,70,7.4,0.004,22.57958126,CaM
FA,P1P4P6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/26/19,28,73,8.8,0.007,29.08093462,CaM
FA,G1R4R6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/26/19,28,72,10.8,0.011,28.11727485,CaM
FA,P1G2R4,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/26/19,28,55,3.7,0.002,15.06425907,CaM
FA,R2G3G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/29/19,28,84,15.1,0.012,36.98772495,CaM
FA,R2O4G6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/29/19,28,71,8.8,0.0014,34.41947125,CaM
FA,P1G2P5,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/29/19,28,66,6.6,0.012,30.31398595,CaM
FA,O1P4O6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/29/19,28,66,7.6,0.008,19.98392539,CaM
FA,O2O4O6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/29/19,28,81,12.4,0.013,36.29098668,CaM
FA,G4G5O6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/29/19,28,87,19.1,0.02,40.56252261,CaM
FA,G3G5O6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/29/19,28,82,18,0.019,42.78262968,CaM
FA,R3P4R6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/29/19,28,76,8.9,0.011,27.48950403,CaM
FA,R2G4O6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/29/19,28,79,10.8,0.011,28.27174551,CaM
FA,P2R4P5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/29/19,28,70,7.6,0.007,17.81990206,CaM
FA,O1P2R6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/29/19,28,69,6.6,0.011,20.61506974,CaM
FA,R3G4R6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/29/19,28,76,8.8,0.009,22.16047875,CaM
FA,G1R4G5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/29/19,28,70,8.8,0.012,23.98885387,CaM
FA,P1G4R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/29/19,28,76,11.7,0.013,27.96973609,CaM
FA,P2R3P6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/29/19,28,68,9,0.009,17.99513378,CaM
FA,P2O3O4,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/30/19,28,85,15.1,0.013,28.11378469,CaM
FA,O2G3O4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/30/19,28,73,9.8,0.013,23.13273325,CaM
FA,R1R3R6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/30/19,28,69,6.4,0.005,20.18925161,CaM
FA,P2R4G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/30/19,28,75,9.1,0.007,20.44595451,CaM
FA,G1O3G5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/30/19,28,72,9.4,0.013,24.91708859,CaM
FA,O1P3G5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/30/19,28,63,5.4,0.005,16.93538902,CaM
FA,G2O3G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,7/30/19,28,73,7.5,0.01,19.67564483,CaM
FA,G1G2P5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/30/19,28,73,10.4,0.005,21.34615237,CaM
FA,R2R3R4,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,7/30/19,28,66,6.4,0.008,17.19306879,CaM
FA,G2O3P6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/30/19,28,71,7.6,0.01,17.17570187,CaM
FA,G1G3R6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/30/19,28,75,10.1,0.014,23.57177902,CaM
FA,G1O2P5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/30/19,28,69,6.4,0.007,17.57206442,CaM
FA,R2R3O6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,7/30/19,28,67,7.3,0.008,22.31513316,CaM
FA,R2G5G6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/30/19,28,73,8.4,0.009,21.2637087,CaM
FA,G1R2P4,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,7/30/19,28,69,7.8,0.006,23.92063389,CaM
FA,O1O2G5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/30/19,28,83,13.8,0.016,31.89777722,CaM
FA,R1G3P6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,7/31/19,12,79,8.6,0.011,19.30668646,CaM
FA,P3O5G6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,7/31/19,12,72,8.7,0.015,21.94088834,CaM
FA,R1P2G5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,7/31/19,12,81,13.1,0.02,35.65763026,CaM
FA,O1G2G3,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,7/31/19,12,74,9.5,0.012,24.52666259,CaM
FA,P3G5R6,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,7/31/19,12,76,10.9,0.012,27.6526081,CaM
FA,G3G5G6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,7/31/19,12,72,7.5,0.013,20.09707703,CaM
FA,O1R2G3,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,7/31/19,12,63,7.5,0.008,21.48441863,CaM
FA,G1O2P6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,7/31/19,12,75,8.9,0.011,18.91285648,CaM
FA,G1O4O5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,7/31/19,12,83,14.1,0.017,32.71423438,CaM
FA,G3G4O5,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,7/31/19,12,66,7,0.012,12.41681165,CaM
FA,P1G3O5,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,7/31/19,12,65,6.8,0.007,23.25445918,CaM
FA,O2O5R6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,7/31/19,12,65,6.4,0.01,15.18582831,CaM
FA,G1G2R4,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,7/31/19,12,67,7.1,0.01,21.7892409,CaM
FA,G1P2O3,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,7/31/19,12,69,7.8,0.01,7.020798633,CaM
FA,P1O3G4,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,7/31/19,12,75,9.5,0.014,29.21436437,CaM
FA,O2O3G4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,7/31/19,12,71,7.4,0.012,16.72042975,CaM
FA,G2P3P4,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,7/31/19,12,77,8.9,0.01,22.03049584,CaM
FA,O2R3O6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,7/31/19,12,80,12.3,0.017,27.74084627,CaM
FA,G2O4P5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,7/31/19,12,69,7.1,0.012,25.67380378,CaM
FA,R4R5G6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,7/31/19,12,84,17.3,0.029,42.37556331,CaM
FA,G1O3R4,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/1/19,12,86,12.9,0.016,30.43791042,CaM
FA,P1R2G3,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/1/19,12,70,6.4,0.01,19.34534475,CaM
FA,R2G5O6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/1/19,12,82,10.6,0.016,24.1073455,CaM
FA,O2R5P6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/1/19,12,59,4,0.008,17.06641366,CaM
FA,O1O5G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/1/19,12,66,5.6,0.01,11.65278205,CaM
FA,O2P4G5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,8/1/19,12,76,11.3,0.023,29.77477987,CaM
FA,R3G5P6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,8/1/19,12,90,16.7,0.026,34.78527077,CaM
FA,G3O5G6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/1/19,12,67,7.5,0.02,29.13970163,CaM
FA,R1P2O4,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/1/19,12,85,16,0.021,40.81477709,CaM
FA,G1O4P5,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/1/19,12,83,11.7,0.019,28.93861126,CaM
FA,G1O3G6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/1/19,12,72,8.6,0.012,17.78570936,CaM
FA,R1G4R6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,8/1/19,12,81,12.8,0.018,38.40385897,CaM
FA,R2O5G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/1/19,12,92,17.4,0.029,35.52415554,CaM
FA,O2R5O6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/1/19,12,61,6,0.007,17.83781587,CaM
FA,G1G3G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/1/19,12,78,9.6,0.014,23.62766022,CaM
FA,R3P4G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/1/19,12,80,12.4,0.016,36.35002291,CaM
FA,G2R3G6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,8/1/19,12,71,8.3,0.012,30.95574299,CaM
FA,G2O3O6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/1/19,12,71,7.1,0.008,19.74276615,CaM
FA,O1G5R6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,8/1/19,12,73,11,0.015,32.20901284,CaM
FA,P4G5G6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,8/1/19,12,82,14,0.023,47.53106626,CaM
FA,G1G2G4,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,8/5/19,12,76,11.5,0.012,20.21590802,CaM
FA,G1G2P3,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/5/19,12,70,7.7,0.011,12.06120237,CaM
FA,O1R5P6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/5/19,12,74,7.1,0.013,9.73335482,CaM
FA,O1P2G5,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/5/19,12,61,5.4,0.007,10.83112014,CaM
FA,O1R2O5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/5/19,12,76,10.6,0.013,23.55271612,CaM
FA,P2G4G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/5/19,12,72,8.2,0.013,5.226575876,CaM
FA,P1P2R4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,8/5/19,12,71,9.3,0.012,23.62735778,CaM
FA,G1O2G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/5/19,12,68,7.1,0.006,30.57368777,CaM
FA,P1O4G5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/5/19,12,76,9.5,0.011,24.11603974,CaM
FA,P1P2G5,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,8/5/19,12,74,9.6,0.01,21.80359887,CaM
FA,P2O4R6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/5/19,12,77,9.5,0.019,24.24838168,CaM
FA,R1R3P5,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/5/19,12,66,4.6,0.01,13.60734217,CaM
FA,P2R3G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/5/19,12,78,10.8,0.013,39.63247184,CaM
FA,P4G5R6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/5/19,12,66,6.3,0.007,7.290534129,CaM
FA,R1P5O6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/6/19,12,74,8.6,0.01,23.30182631,CaM
FA,G2R5G6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/6/19,12,72,9.1,0.011,21.92833124,CaM
FA,R2G3P4,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/6/19,12,71,8.1,0.01,22.52417123,CaM
FA,G2P5P6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,8/6/19,12,71,9.4,0.011,31.13825256,CaM
FA,O2G3P5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/6/19,12,74,10.3,0.011,33.88144681,CaM
FA,G1O2P3,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/6/19,12,59,4,0.008,20.53982087,CaM
FA,G1G3P5,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/6/19,12,71,7.7,0.012,36.98962694,CaM
FA,R2P3G5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,8/6/19,12,74,9.8,0.013,31.16413616,CaM
FA,R2P4R6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/6/19,12,64,5.6,0.007,21.76863132,CaM
FA,G1G2R6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/7/19,12,72,9.7,0.011,17.11116332,CaM
FA,P2R5O6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/7/19,12,75,9.6,0.018,29.97459319,CaM
FA,P2G3G4,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/7/19,12,64,6.3,0.007,14.49565182,CaM
FA,G1P3O6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/7/19,12,72,8.6,0.01,19.00073681,CaM
FA,P2P3G4,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,8/7/19,12,64,6.5,0.013,17.79581091,CaM
FA,G1O4R6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/7/19,12,78,11.2,0.019,31.88595511,CaM
FA,O1R2P6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,8/7/19,12,79,13.1,0.023,43.26417957,CaM
FA,O3G5G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/7/19,12,69,7.2,0.012,12.10145136,CaM
FA,G2R3P6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/7/19,12,69,6.9,0.007,16.10310559,CaM
FA,G3O4R5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/7/19,12,79,11.5,0.017,28.9785964,CaM
FA,O1G2G6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,8/7/19,12,64,6.6,0.007,19.76017323,CaM
FA,P3G5O6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/7/19,12,69,7.7,0.017,22.75055268,CaM
FA,R3R5O6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/7/19,12,80,11.9,0.02,25.73494431,CaM
FA,G1G3O6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,8/7/19,12,73,10.2,0.014,22.4357345,CaM
FA,G3R4O5,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,8/7/19,12,81,11.5,0.02,32.79105542,CaM
FA,O3G5P6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,8/7/19,12,71,8.2,0.009,18.97294101,CaM
FA,O1O3O6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,8/7/19,12,79,11.5,0.014,33.79190465,CaM
LKA,P1R3O6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,7/23/19,28,67,6.1,0.006,25.58029938,CaM
LKA,P1G3R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/23/19,28,76,12.1,0.014,51.15535632,CaM
LKA,O3O4R5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/23/19,28,77,12.1,0.015,46.40322473,CaM
LKA,G2R5P6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,7/23/19,28,75,9.6,0.012,36.12947971,CaM
